k,inertia,silhouette
2,318.8982932529359,0.695
3,249.03749025572307,0.7429
4,227.65520848537932,0.7614
5,201.56397473978097,0.78
6,181.4634114263049,0.8007
7,162.04495316455393,0.8223
8,153.1818683187998,0.8233
9,132.47517326211533,0.8513
10,123.36177508940676,0.8585
11,117.34418946219598,0.8668
