Cluster,Name,Value
0,C#,0.9753086419753086
0,Visual Studio,0.8395061728395061
0,Visual Studio Code,0.8395061728395061
0,Microsoft SQL Server,0.8334498020032611
0,SQL,0.8159795015140927
0,ASP.NET Core,0.7829023992546005
0,JavaScript,0.781504775215467
0,HTML/CSS,0.7544840437922199
0,NuGet,0.7153505706964827
0,Microsoft Azure,0.6105287677614721
1,Python,0.09223088923556942
1,Visual Studio Code,0.07463338533541342
1,C++,0.06458658346333854
1,C,0.055413416536661465
1,Bash/Shell (all shells),0.05447737909516381
1,C#,0.04324492979719189
1,SQL,0.04
1,Java,0.03968798751950078
1,PostgreSQL,0.033822152886115446
1,Visual Studio,0.033322932917316694
2,JavaScript,0.9258059290458448
2,npm,0.8514498623035801
2,HTML/CSS,0.8428640855337761
2,TypeScript,0.8263405151466062
2,Docker,0.7821156649927102
2,Node.js,0.7275230843998056
2,Visual Studio Code,0.7233111939089584
2,React,0.6952859225660133
2,PostgreSQL,0.6236837842216102
2,SQL,0.6034343107079216
3,Docker,0.8636888083072358
3,Python,0.8195154112411406
3,Bash/Shell (all shells),0.6799076973792649
3,Pip,0.6237019943959123
3,Visual Studio Code,0.5889236855117851
3,PostgreSQL,0.5562881160375803
3,SQL,0.5111257623207516
3,Amazon Web Services (AWS),0.4559090159881325
3,Kubernetes,0.39492335585956817
3,Make,0.38486896324377784
4,JavaScript,0.9466600199401795
4,Docker,0.9272183449651047
4,npm,0.905284147557328
4,Python,0.8885842472582254
4,HTML/CSS,0.8763708873379861
4,SQL,0.8526919242273181
4,PostgreSQL,0.8123130608175474
4,Visual Studio Code,0.8023429710867398
4,TypeScript,0.7831505483549352
4,Pip,0.7779162512462612
5,JavaScript,0.7774964838255978
5,HTML/CSS,0.7563994374120956
5,SQL,0.5966244725738397
5,Python,0.5686357243319269
5,Visual Studio Code,0.5365682137834037
5,Bash/Shell (all shells),0.42545710267229253
5,MySQL,0.37412095639943743
5,Java,0.3360056258790436
5,C++,0.3036568213783404
5,C,0.29465541490857944
